onset	duration	sample	type	value
13.1832839039945	0.0399092970500033	15820.9406847934	phoneme_onset_01	"OW1"
13.2231932010445	0.179591836729996	15868.8318412534	phoneme_onset_01	"M"
13.4027850377745	0.0698412698500033	16084.3420453294	phoneme_onset_01	"Z"
13.4726263076245	0.249433106569998	16168.1515691494	word_onset_01	"UPON"
13.4726263076245	0.0299319727799972	16168.1515691494	phoneme_onset_01	"AH0"
13.5025582804045	0.0798185941100019	16204.0699364854	phoneme_onset_01	"P"
13.5823768745145	0.0698412698399989	16299.8522494174	phoneme_onset_01	"AA1"
13.6522181443545	0.0698412698400004	16383.6617732254	phoneme_onset_01	"N"
13.7220594141945	0.0598639455800003	16467.4712970334	word_onset_01	"THE"
13.7220594141945	0.0299319727900001	16467.4712970334	phoneme_onset_01	"DH"
